,Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
253,APEI,2020-06-04,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA,479.18M,44.36,32.16,-0.80%,84531,26.43,28.80,1.67,1.69,2.43,13.89,-59.80%,36.28%,-23.30%,1.54%,-3.90%,15.02M,14.15M,5.30%,-5.11%,94.30%,-2.31%,1.59%,2.1,107.21K,1.48%,30.89%,42.74%,29.99%,10.29%,17.42%,4.79%,6.29%,2.30,0.79,-,3.20%,3.80%,2.60%,4.70,4.70,0.00,0.00,60.60%,4.90%,4.00%,May 11/a,0.76,1.85,3.79%,21.81%,28.83%,-7.13%,74.12%,60.44,0.03%,-0.83%
254,APG,2020-06-04,APi Group Corporation,Industrials,Engineering & Construction,USA,2.04B,-,12.01,-1.23%,1610385,-,-,0.52,-,-,-,-,-,-,-,-,169.90M,137.58M,17.12%,0.00%,42.46%,-,1.15%,2.02,781.34K,9.18%,21.31%,16.04%,25.10%,-,13.84%,6.44%,4.89%,-,2.06,-,-,-,-,-,-,-,-,-,-,-,Jun 02/b,-,0.61,16.15%,32.12%,23.60%,-7.54%,179.30%,77.0,-1.40%,0.16%
255,APH,2020-06-04,Amphenol Corporation,Technology,Electronic Components,USA,29.67B,27.65,101.57,-1.57%,2124983,27.65,9.53,3.65,6.89,12.45,30.39,-9.20%,24.54%,11.10%,2.90%,9.00%,297.40M,291.38M,0.20%,-25.53%,97.30%,-1.22%,1.13%,1.53,2.15M,6.52%,17.76%,8.72%,-0.21%,11.87%,-6.15%,2.77%,2.60%,2.10,0.99,0.98%,10.20%,26.20%,15.60%,2.50,1.90,1.05,1.16,31.30%,19.00%,13.90%,Apr 22/b,1.26,2.83,12.08%,20.53%,7.31%,-7.86%,61.09%,71.33,-0.42%,-1.15%
256,APHA,2020-06-04,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.19B,14.85,4.44,-0.45%,5326721,-,-,-,0.83,-,-,-,-,-,-,-,267.59M,266.99M,2.84%,-,14.42%,-,14.64%,5.84,6.70M,3.02%,23.33%,32.54%,-6.33%,-33.83%,-14.94%,5.64%,7.33%,-,0.8,-,-,-,-,-,-,-,-,-,-,-,Apr 15/b,-,0.27,17.38%,26.71%,-2.23%,-41.58%,127.69%,69.5,0.00%,-0.45%
257,APLE,2020-06-04,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.71B,20.43,11.95,4.28%,2531525,61.28,-,2.26,0.84,6.21,291.88,-14.40%,17.00%,80.70%,-,9.50%,224.29M,208.26M,6.50%,0.17%,65.00%,0.14%,3.08%,1.59,4.05M,15.01%,43.46%,-4.86%,-25.27%,-23.84%,-26.46%,5.24%,7.22%,2.10,0.63,-,2.60%,4.00%,4.80%,-,-,0.63,0.63,55.10%,16.10%,10.90%,May 18/a,1.06,0.71,27.28%,34.39%,-12.23%,-29.19%,166.74%,71.04,4.00%,0.26%
258,APLS,2020-06-04,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.45B,-,32.07,-3.14%,458396,-,-,-,9.14,3.79,-,-108.90%,9.40%,-,2.80%,-,73.72M,58.52M,3.70%,0.00%,73.70%,23.35%,12.49%,7.16,1.02M,-5.84%,-9.15%,-12.85%,7.15%,49.72%,4.74%,5.26%,6.45%,1.70,0.45,-,-90.90%,-285.80%,-,13.30,13.30,0.56,0.00,-,-,-,Feb 25,-,2.2,-2.05%,1.05%,2.93%,-28.80%,90.33%,48.8,-1.81%,-1.36%
259,APLT,2020-06-04,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA,996.61M,-,44.02,0.05%,129073,-,-,-,5.89,6.46,-,-266.10%,-14.00%,-,-,-,20.84M,16.89M,17.10%,-4.36%,60.00%,53.25%,3.58%,3.28,184.28K,-6.18%,4.81%,8.96%,123.23%,341.97%,61.36%,6.22%,8.45%,1.70,0.7,-,-65.90%,-75.90%,-,19.30,19.30,0.00,0.00,-,-,-,Mar 18/b,-,3.81,-5.35%,8.54%,53.22%,-23.30%,446.15%,49.64,0.64%,-0.59%
260,APM,2020-06-04,Aptorum Group Limited,Healthcare,Biotechnology,Hong Kong,95.66M,-,3.15,0.18%,31660,-,-,191.32,5.62,15.18,-,-21.20%,5.80%,-,-,-,29.04M,6.31M,37.66%,0.00%,0.50%,31.02%,0.09%,0.2,26.72K,2.13%,-0.61%,-25.10%,-79.31%,-90.34%,-80.15%,5.13%,6.41%,2.00,1.18,-,-55.30%,-75.50%,-103.00%,3.00,3.00,0.01,0.01,-48.50%,-,-,-,-,0.21,-0.81%,-1.62%,-72.18%,-90.55%,89.49%,50.16,-1.70%,1.91%
261,APO,2020-06-04,"Apollo Global Management, Inc.",Financial,Asset Management,USA,21.27B,-,51.32,-0.54%,1390357,19.44,-,27.09,5132.00,32.83,19.77,-22.10%,38.00%,44.20%,13.01%,13.40%,226.76M,393.36M,2.60%,-46.15%,72.40%,-0.03%,1.63%,2.14,2.99M,8.73%,25.48%,20.07%,19.85%,62.77%,7.57%,3.54%,3.83%,2.20,0.47,3.27%,-3.40%,-40.60%,28.50%,-,-,4005.38,4005.38,-,-,-43.20%,May 01/b,1.66,2.08,13.58%,28.19%,22.88%,-2.56%,163.72%,72.5,0.29%,-0.83%
262,APOG,2020-06-04,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA,672.58M,10.59,24.52,1.78%,282548,9.62,0.71,0.48,1.25,-,18.08,42.40%,24.66%,6.10%,15.00%,8.20%,26.45M,25.50M,2.40%,4.30%,93.80%,2.20%,3.18%,2.17,374.20K,13.94%,24.66%,-18.02%,-34.77%,-36.11%,-24.55%,5.71%,6.00%,2.60,0.76,3.06%,5.40%,12.30%,9.50%,1.40,1.10,0.41,0.42,23.00%,6.30%,4.50%,Apr 02/b,1.43,1.38,22.37%,26.26%,-20.99%,-47.49%,78.11%,69.15,2.08%,-0.29%
263,APPF,2020-06-04,"AppFolio, Inc.",Technology,Software - Application,USA,5.66B,175.22,170.49,-1.22%,186834,219.14,7.01,20.86,46.71,87.38,212.06,81.70%,77.63%,42.30%,25.00%,40.00%,34.18M,15.76M,0.10%,-78.46%,79.60%,1.31%,9.14%,7.89,182.65K,10.92%,52.91%,41.52%,49.00%,72.00%,55.06%,4.54%,5.12%,2.30,1.02,-,13.60%,27.60%,21.00%,2.40,2.40,0.77,0.78,60.80%,3.40%,12.70%,May 04/a,1.02,7.53,23.25%,46.19%,54.76%,-2.85%,110.46%,78.17,-0.22%,-1.00%
264,APPN,2020-06-04,Appian Corporation,Technology,Software - Infrastructure,USA,4.02B,-,57.13,-6.41%,1493043,-,-,14.39,19.50,26.96,-,4.00%,30.60%,-20.50%,-,23.90%,67.53M,34.41M,0.60%,10.12%,82.70%,-1.99%,29.47%,8.43,1.20M,-3.63%,22.81%,16.69%,38.63%,64.50%,49.52%,5.07%,7.33%,3.00,1.24,-,-14.00%,-29.20%,-24.50%,2.30,2.30,0.01,0.02,66.40%,-14.90%,-16.00%,May 07/a,-,3.88,3.65%,23.39%,22.73%,-11.73%,96.53%,57.71,-5.16%,-1.31%
265,APPS,2020-06-04,"Digital Turbine, Inc.",Technology,Software - Application,USA,741.11M,-,8.63,-4.64%,5083473,28.77,-,5.85,12.88,21.99,40.06,88.70%,55.44%,38.40%,25.00%,33.50%,85.88M,83.30M,2.70%,3.14%,63.40%,9.01%,5.75%,2.01,2.38M,42.41%,56.62%,20.87%,4.48%,85.99%,21.04%,9.53%,7.05%,1.50,2.13,-,-7.00%,-15.10%,7.00%,1.20,1.20,0.00,0.00,39.00%,9.40%,-5.40%,Jun 02/a,1.73,0.54,42.95%,61.57%,31.74%,-6.20%,147.99%,78.26,-1.03%,-3.65%
266,APRE,2020-06-04,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA,557.12M,-,26.94,1.43%,44172,-,-,-,5.01,4.55,-,-64.90%,-22.40%,-,-,-,21.05M,18.33M,12.94%,-21.22%,90.20%,3.07%,4.64%,9.71,87.58K,2.12%,-19.92%,-25.70%,7.16%,-,-41.29%,7.23%,10.20%,2.20,0.5,-,-,-,-,10.80,10.80,0.00,0.00,-,-,-,Mar 26,-,2.78,-13.47%,-17.10%,-16.19%,-49.28%,78.41%,39.22,2.63%,-1.17%
267,APRN,2020-06-04,"Blue Apron Holdings, Inc.",Consumer Cyclical,Internet Retail,USA,135.90M,-,11.04,-4.33%,766228,-,-,0.33,2.90,4.61,-,50.90%,35.80%,-13.80%,-,42.40%,13.31M,9.60M,0.60%,-95.11%,42.20%,10.82%,30.88%,0.74,4.02M,27.34%,55.93%,254.98%,61.88%,8.04%,67.78%,21.57%,12.86%,3.00,0.19,-,-26.70%,-95.70%,-42.80%,1.10,0.70,1.06,0.00,38.00%,-16.10%,-18.30%,Apr 29/b,-,1.36,26.55%,9.94%,48.28%,-61.72%,449.25%,58.33,-4.83%,0.52%
268,APT,2020-06-04,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,144.69M,20.11,10.6,-8.38%,2197470,-,1.34,2.76,3.44,8.22,11.58,-12.30%,-,9.20%,15.00%,-0.40%,13.12M,11.19M,9.50%,-45.39%,21.00%,-14.14%,26.60%,0.67,4.42M,-15.27%,-17.70%,-35.64%,221.70%,196.09%,209.04%,5.92%,9.23%,-,0.5,-,17.10%,20.40%,7.10%,4.00,2.90,0.00,0.00,39.50%,11.90%,13.60%,Mar 03/a,-0.89,1.03,-20.35%,-19.56%,47.12%,-74.51%,231.25%,34.03,-8.23%,-0.17%
269,APTO,2020-06-04,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada,600.00M,-,6.98,-0.43%,358050,-,-,-,6.12,6.67,-,39.40%,22.20%,4.80%,-,-,76.23M,70.67M,20.40%,0.02%,35.10%,0.84%,2.80%,2.25,879.72K,-1.83%,-1.83%,-13.29%,175.89%,277.30%,23.10%,5.51%,7.53%,2.00,0.41,-,-49.00%,-53.30%,-,20.60,20.60,0.00,0.00,-,-,-,May 05/a,1.66,0.53,-9.00%,-2.90%,40.82%,-24.56%,285.64%,44.33,0.00%,-0.43%
270,APTS,2020-06-04,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,416.36M,-,8.23,4.71%,600556,-,-,0.85,0.22,3.47,-,-152.90%,-14.40%,-55.00%,7.00%,52.80%,47.13M,46.96M,0.80%,68.45%,56.60%,-7.11%,4.37%,3.09,663.95K,10.77%,16.57%,-15.76%,-39.62%,-48.56%,-38.21%,5.81%,7.17%,2.80,0.9,8.51%,-6.10%,-16.40%,2.20%,-,-,1.47,1.57,77.10%,-15.20%,-61.70%,May 11/a,0.86,0.54,14.50%,17.06%,-28.14%,-49.82%,56.20%,63.0,4.71%,0.00%
271,APTV,2020-06-04,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,21.38B,9.23,83.69,0.43%,2344419,21.19,1.81,1.53,4.30,10.41,29.49,-7.00%,263.39%,-2.40%,5.10%,-1.50%,255.51M,253.46M,0.50%,-0.64%,97.20%,-0.99%,1.56%,1.62,2.44M,13.66%,27.50%,6.61%,-8.86%,15.42%,-11.88%,3.60%,4.88%,2.00,0.96,-,16.70%,58.50%,13.80%,1.70,1.30,1.20,1.25,18.10%,18.50%,16.60%,May 05/b,2.25,3.81,18.29%,32.41%,3.52%,-15.50%,186.41%,73.48,2.51%,-2.03%
272,APTX,2020-06-04,Aptinyx Inc.,Healthcare,Biotechnology,USA,176.12M,-,3.68,-0.81%,174912,-,-,48.92,1.32,1.46,-,-7.10%,-18.00%,-,-,-,43.84M,38.09M,1.30%,-,64.10%,43.50%,0.54%,0.77,264.85K,-6.12%,13.58%,16.46%,-4.42%,17.20%,7.60%,8.90%,10.49%,2.00,0.66,-,-45.80%,-48.00%,-58.80%,27.10,27.10,0.00,0.00,-,-,-,May 14/a,-,0.37,-3.61%,22.55%,10.34%,-29.90%,130.00%,54.62,-1.34%,0.54%
273,APXT,2020-06-04,Apex Technology Acquisition Corporation,Financial,Shell Companies,USA,438.92M,-,9.85,0.25%,7558,-,-,-,1.29,548.65,-,-,-,-,-,-,44.56M,29.54M,-,-,70.30%,20.85%,0.02%,0.03,205.30K,0.61%,0.51%,-1.79%,-,-,-0.20%,0.30%,0.99%,-,0.04,-,-,-,-,1.10,1.10,0.00,0.00,-,-,-,-,-,0.08,0.55%,1.12%,-0.09%,-6.46%,7.95%,56.22,0.00%,0.25%
274,APY,2020-06-04,Apergy Corporation,Energy,Oil & Gas Equipment & Services,USA,801.11M,-,10.34,0.00%,0,-,-,0.73,2.06,14.95,6.27,-43.70%,-23.80%,-,-8.70%,-,77.48M,77.12M,0.40%,3.94%,95.60%,-1.25%,13.12%,2.48,4.07M,17.90%,14.13%,-41.32%,-60.17%,-67.82%,-69.39%,7.66%,7.14%,2.20,10.65,-,-33.90%,-69.20%,5.90%,2.50,1.50,1.44,1.45,32.80%,-54.30%,-55.30%,Apr 27/a,-,0.83,14.44%,26.14%,-51.20%,-70.29%,257.79%,64.45,0.00%,0.00%
275,APYX,2020-06-04,Apyx Medical Corporation,Healthcare,Medical Devices,USA,153.82M,-,4.52,-0.66%,67617,-,-,5.57,2.19,-,-,-78.00%,19.40%,10.80%,15.00%,0.40%,34.18M,29.95M,0.10%,488.75%,55.90%,-3.50%,1.19%,3.01,118.90K,2.26%,39.08%,-31.20%,-38.34%,-25.78%,-46.57%,6.73%,11.10%,-,0.57,-,-,-,-28.80%,7.00,6.40,0.01,0.01,67.10%,-,-,May 11/b,0.78,0.37,13.02%,21.36%,-28.18%,-47.38%,61.14%,58.14,0.22%,-0.88%
276,AQB,2020-06-04,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,USA,89.54M,-,2.78,0.36%,43392,-,-,936.59,2.16,-,-,17.30%,30.00%,15.40%,-,-,27.12M,27.29M,1.10%,-,59.20%,45.63%,0.79%,2.27,94.95K,2.21%,51.58%,20.87%,25.79%,28.11%,28.11%,5.64%,9.52%,1.70,0.46,-,-38.40%,-47.10%,-46.40%,8.30,7.40,0.11,0.12,-,-,-,Mar 05,1.09,0.19,12.07%,36.77%,24.55%,-31.86%,83.30%,67.03,0.00%,0.36%
277,AQMS,2020-06-04,"Aqua Metals, Inc.",Industrials,Waste Management,USA,55.59M,-,0.9,-4.23%,174513,-,-,12.35,1.18,8.69,-,27.30%,13.30%,-11.60%,35.00%,-,59.58M,57.32M,2.90%,-15.31%,17.30%,-15.51%,4.32%,5.33,464.95K,5.23%,22.30%,23.31%,21.20%,-47.69%,19.82%,10.09%,9.23%,1.00,0.38,-,-51.30%,-69.10%,-71.30%,2.80,2.60,0.18,0.19,-,-,-,Apr 30/a,1.33,0.08,12.09%,42.71%,-14.29%,-59.05%,174.24%,66.17,-4.74%,0.53%
278,AQN,2020-06-04,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable,Canada,7.60B,20.03,14.42,-1.50%,639207,-,-,4.72,2.16,-,-,-,-,-,-,-,527.39M,525.20M,0.31%,0.00%,49.41%,-,0.45%,2.49,940.64K,2.41%,4.95%,-12.98%,1.55%,20.67%,1.91%,2.72%,2.89%,-,0.68,4.30%,-,-,-,-,-,-,-,-,-,-,May 07/a,-,0.42,5.13%,6.65%,3.32%,-14.42%,51.31%,60.25,-1.10%,-0.41%
279,AQST,2020-06-04,"Aquestive Therapeutics, Inc.",Healthcare,Biotechnology,USA,176.87M,-,5.14,-3.02%,868721,-,-,3.63,-,4.98,-,11.80%,14.10%,-36.50%,-,90.00%,33.57M,27.28M,4.90%,-7.87%,52.80%,-9.77%,5.08%,1.45,953.40K,3.01%,14.22%,24.15%,-41.26%,25.98%,-11.68%,8.25%,11.26%,1.80,0.91,-,-112.40%,316.30%,-106.20%,3.30,3.10,-,-,57.90%,-,-,May 05/a,-,0.55,-5.81%,25.88%,18.62%,-48.60%,264.54%,53.57,-1.34%,-1.70%
280,AQUA,2020-06-04,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,2.30B,34.87,19.49,-0.66%,504313,37.41,2.27,1.56,5.40,21.18,69.85,-474.80%,16.04%,38.40%,15.38%,5.60%,116.46M,79.88M,1.20%,-92.89%,98.06%,10.23%,2.93%,2.14,1.09M,2.80%,24.70%,-4.18%,0.93%,53.34%,2.85%,3.95%,5.12%,2.50,0.46,-,3.80%,17.20%,-0.60%,1.90,1.40,2.09,2.15,31.60%,6.00%,4.50%,May 06/b,-,0.9,11.35%,27.67%,11.68%,-22.75%,175.09%,68.91,0.62%,-1.27%
281,AR,2020-06-04,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,916.32M,-,3.2,2.24%,11708317,-,-,0.20,0.14,-,1.20,11.70%,-18.00%,-19.50%,-,10.50%,284.23M,223.33M,8.40%,-0.57%,91.90%,-11.62%,17.18%,2.63,14.59M,0.31%,-3.61%,137.04%,58.42%,-51.52%,12.28%,7.82%,10.98%,3.20,0.8,-,-10.50%,-22.60%,1.70%,1.20,1.20,0.56,0.56,53.00%,-32.60%,-35.40%,Apr 29/a,4.79,0.33,5.30%,46.42%,34.31%,-55.43%,401.57%,59.71,3.23%,-0.96%
282,ARA,2020-06-04,"American Renal Associates Holdings, Inc.",Healthcare,Diagnostics & Research,USA,219.73M,-,6.44,0.00%,108467,-,-,0.27,-,3.52,5.22,31.10%,48.50%,-26.50%,-,8.00%,32.46M,13.95M,4.10%,0.00%,86.20%,0.38%,8.70%,10.82,112.12K,2.88%,-4.17%,-23.24%,-26.82%,-0.31%,-37.90%,6.53%,6.84%,3.00,0.97,-,-1.60%,22.30%,13.70%,1.20,1.20,-,-,25.20%,6.40%,-2.20%,May 11/a,1.64,0.46,-1.18%,-3.22%,-19.92%,-53.33%,14.18%,49.58,1.58%,-1.55%
283,ARAV,2020-06-04,"Aravive, Inc.",Healthcare,Biotechnology,USA,185.93M,-,12.2,-3.33%,98504,-,-,59.98,3.10,3.06,-,85.20%,-9.60%,43.10%,-,-,15.01M,10.95M,0.70%,-,43.90%,6.14%,3.10%,1.96,173.16K,-0.33%,2.01%,44.21%,5.81%,110.71%,-10.75%,5.88%,8.20%,1.70,0.57,-,-34.40%,-42.60%,-,12.40,12.40,0.00,0.00,-,-,-,Mar 26,3.50,1.01,-3.33%,15.67%,34.68%,-21.90%,265.27%,53.76,-2.63%,-0.71%
284,ARAY,2020-06-04,Accuray Incorporated,Healthcare,Medical Devices,USA,219.84M,93.85,2.44,2.52%,665732,-,-,0.54,3.70,2.45,-,-147.60%,-333.30%,16.70%,-,2.50%,90.48M,86.76M,3.50%,-0.96%,73.50%,-2.18%,3.56%,5.1,605.97K,16.75%,15.09%,-18.12%,-12.86%,-34.41%,-13.48%,9.79%,8.33%,2.00,1.1,-,0.60%,5.00%,-0.70%,2.00,1.20,3.18,3.18,38.50%,2.60%,0.60%,Apr 28/a,2.00,0.18,18.78%,24.97%,-7.90%,-47.86%,83.46%,65.66,3.83%,-1.26%
285,ARCB,2020-06-04,ArcBest Corporation,Industrials,Trucking,USA,623.16M,17.70,24.66,1.86%,255314,11.36,-,0.21,0.82,1.17,5.85,-36.30%,115.81%,-2.20%,-6.90%,2.70%,25.39M,24.72M,3.60%,0.00%,91.90%,-2.57%,3.03%,3.17,235.87K,10.09%,12.45%,25.82%,-8.63%,-3.75%,-10.65%,4.67%,5.25%,2.60,1.08,1.30%,2.20%,4.90%,4.80%,2.10,2.10,0.63,0.70,76.70%,2.10%,1.20%,May 05/b,1.59,1.32,16.57%,23.96%,-2.55%,-24.02%,82.13%,67.94,2.79%,-0.91%
286,ARCC,2020-06-04,Ares Capital Corporation,Financial,Asset Management,USA,6.61B,-,15.63,0.32%,2523242,9.09,-,4.33,1.00,-,-,-11.10%,2.40%,4.42%,3.00%,-,422.62M,-,0.57%,0.41%,36.16%,-,-,1.56,4.99M,3.65%,23.07%,-11.94%,-16.37%,-12.21%,-16.19%,2.79%,3.94%,1.70,0.51,10.24%,-,-,-,-,-,-,-,-,-,-,May 05/b,-,0.59,9.81%,23.67%,-7.08%,-19.14%,97.85%,71.54,0.19%,0.13%
287,ARCE,2020-06-04,Arco Platform Limited,Consumer Defensive,Education & Training Services,Brazil,2.59B,-,46.74,-1.97%,701103,6.74,-,19.54,8.64,16.82,-,88.80%,27.40%,-,32.70%,-,54.94M,49.03M,1.48%,0.00%,-,2.38%,2.12%,4.03,257.78K,-4.51%,-12.31%,-11.81%,8.14%,12.25%,5.75%,4.86%,6.00%,2.20,2.72,-,-1.50%,-2.70%,5.10%,1.90,1.80,0.01,0.20,77.30%,7.90%,-5.10%,May 27/a,-,3.19,-9.49%,-2.07%,-1.19%,-21.43%,60.67%,42.58,-4.32%,2.45%
288,ARCH,2020-06-04,"Arch Coal, Inc.",Energy,Thermal Coal,USA,534.24M,4.42,33.77,4.26%,237915,3.84,-,0.25,0.86,2.28,-,-10.80%,1534.90%,20.20%,-,-4.80%,15.14M,14.97M,1.15%,0.44%,-,-6.10%,16.72%,4.31,580.20K,-1.95%,22.71%,-25.85%,-53.77%,-61.64%,-52.93%,5.84%,8.16%,2.20,0.41,-,7.20%,20.60%,25.50%,2.30,1.70,0.56,0.60,15.60%,6.60%,6.30%,Apr 23/b,0.99,2.62,8.04%,11.72%,-42.30%,-65.47%,54.91%,55.75,5.37%,-1.05%
289,ARCO,2020-06-04,Arcos Dorados Holdings Inc.,Consumer Cyclical,Restaurants,Uruguay,922.13M,72.86,4.59,1.77%,1674964,17.45,4.42,0.32,3.59,6.49,-,122.60%,223.10%,22.40%,16.50%,-4.10%,204.07M,123.95M,4.30%,0.00%,79.10%,-1.45%,0.40%,0.4,1.22M,20.16%,30.03%,-25.12%,-36.69%,-28.17%,-43.33%,6.07%,6.90%,2.00,1.37,3.05%,0.50%,3.60%,11.40%,0.60,0.60,2.38,2.91,11.40%,4.20%,0.50%,May 13/b,1.67,0.28,24.63%,27.18%,-26.11%,-45.39%,55.07%,71.57,0.88%,0.89%
290,ARCT,2020-06-04,Arcturus Therapeutics Holdings Inc.,Healthcare,Biotechnology,USA,649.29M,-,33.59,-6.98%,646053,-,-,33.99,28.71,-,-,0.50%,44.20%,33.70%,-,-,14.52M,13.95M,16.00%,0.51%,24.00%,4.79%,3.20%,0.72,619.52K,-8.57%,-12.69%,83.95%,249.90%,392.52%,209.02%,11.79%,16.90%,1.60,1.04,-,-37.00%,-115.20%,-,2.90,2.90,0.88,0.88,-,-,-,May 07/a,3.16,6.7,-25.77%,10.44%,107.71%,-46.66%,484.17%,43.36,-8.70%,1.88%
291,ARD,2020-06-04,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg,3.28B,-,13.86,5.64%,175542,9.77,-,0.49,-,3.41,-,2.80%,16.69%,11.20%,4.80%,7.10%,236.40M,18.47M,-,-,95.10%,-0.02%,0.98%,1.43,126.89K,15.02%,20.84%,-24.05%,-25.12%,-6.03%,-29.21%,4.78%,4.83%,2.90,1.38,4.33%,-,-,3.20%,1.40,0.90,-,-,16.20%,-,-,Apr 23/b,-,0.6,17.29%,14.48%,-16.12%,-35.65%,50.65%,71.18,5.40%,0.23%
292,ARDC,2020-06-04,"Ares Dynamic Credit Allocation Fund, Inc.",Financial,Asset Management,USA,276.58M,-,12.07,1.26%,83981,-,-,-,-,-,-,-,-,-,-,-,22.91M,-,-,-,34.27%,-,-,0.45,177.19K,4.05%,11.55%,-18.00%,-18.50%,-19.85%,-21.37%,1.41%,1.67%,-,0.47,9.69%,-,-,-,-,-,-,-,-,-,-,-,-,0.19,7.96%,11.49%,-12.49%,-24.14%,48.98%,80.06,0.42%,0.84%
293,ARDS,2020-06-04,"Aridis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,55.46M,-,6.73,-4.13%,12988,-,-,-,-,3.40,-,-21.30%,-17.80%,-,-,-,8.92M,6.00M,32.77%,0.00%,1.10%,5.84%,0.64%,5.97,6.42K,4.99%,-18.03%,-7.17%,30.93%,-27.42%,51.24%,8.79%,12.67%,2.00,2.02,-,-112.20%,-538.30%,-808.00%,1.00,1.00,-,-,-,-,-,Mar 26,-,0.93,-15.38%,-0.67%,2.16%,-45.73%,77.11%,45.46,-4.27%,0.14%
294,ARDX,2020-06-04,"Ardelyx, Inc.",Healthcare,Biotechnology,USA,615.95M,-,6.93,-0.93%,868087,-,-,94.76,3.67,2.76,-,9.30%,-17.50%,-53.50%,30.00%,-30.10%,88.88M,88.46M,0.70%,-18.72%,86.30%,2.22%,3.17%,3.61,776.11K,-3.75%,-1.98%,5.32%,-13.91%,169.65%,-7.66%,6.49%,7.15%,1.30,1.12,-,-48.50%,-77.20%,-38.70%,9.80,9.80,0.26,0.30,90.80%,-,-,Mar 18/a,1.88,0.52,-7.39%,1.16%,10.23%,-21.38%,230.00%,46.18,-1.70%,0.79%
295,ARE,2020-06-04,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,USA,19.25B,71.15,151.13,-2.32%,751680,58.08,711.53,11.94,1.97,43.22,-,-11.50%,13.53%,25.70%,0.10%,16.10%,121.43M,124.95M,1.30%,-9.12%,99.60%,0.71%,4.13%,5.09,1.01M,-2.58%,-1.19%,-6.10%,-6.29%,0.33%,-6.47%,1.83%,2.66%,1.80,0.74,2.73%,1.40%,2.90%,2.40%,-,-,0.78,0.78,70.70%,23.70%,15.10%,Apr 27/a,0.86,4.26,1.29%,2.58%,-2.11%,-14.00%,38.37%,53.87,-1.17%,-1.16%
296,ARES,2020-06-04,Ares Management Corporation,Financial,Asset Management,USA,9.42B,123.05,39.5,1.28%,1653735,18.27,9.84,7.22,7.79,5.60,-,237.40%,29.46%,18.00%,12.51%,23.90%,118.37M,85.97M,2.30%,-41.67%,62.20%,2.22%,5.79%,4.48,1.11M,8.67%,21.54%,10.89%,20.91%,48.61%,10.68%,3.01%,4.12%,2.10,1.49,4.05%,-,-,2.80%,-,-,15.73,15.73,99.80%,-,-,May 06/b,1.28,1.47,11.31%,18.71%,21.22%,-5.68%,95.54%,69.62,1.80%,-0.51%
297,ARGO,2020-06-04,"Argo Group International Holdings, Ltd.",Financial,Insurance - Property & Casualty,Bermuda,1.34B,-,34.74,0.38%,325750,10.56,-,0.70,0.73,8.43,47.09,-113.70%,106.92%,-15.40%,7.00%,5.50%,34.47M,33.31M,3.10%,1.31%,93.60%,1.01%,0.97%,0.92,349.60K,1.82%,7.92%,-31.59%,-45.41%,-51.29%,-47.16%,6.10%,5.81%,2.60,0.93,3.57%,-1.10%,-6.50%,0.70%,-,-,0.35,0.35,-,-5.30%,-6.20%,May 07/a,0.85,2.12,11.72%,3.94%,-37.86%,-54.57%,38.96%,56.52,0.38%,0.00%
298,ARGX,2020-06-04,argenx SE,Healthcare,Biotechnology,Netherlands,9.90B,-,231.25,0.40%,391990,-,-,-,19.35,-,-,-69.00%,-6.80%,-,-,-,42.79M,41.63M,-,-,56.49%,-,1.87%,4.28,182.03K,9.25%,60.81%,50.74%,57.13%,89.41%,44.06%,4.06%,4.04%,1.80,2.15,-,-,-,-,-,-,-,-,-,-,-,May 14/b,-,9.73,30.52%,49.65%,62.23%,-2.16%,122.89%,84.46,-3.59%,4.13%
