Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
CBNK,2020-06-05,"Capital Bancorp, Inc.",Financial,Banks - Regional,USA,165.49M,9.96,11.72,2.00%,20093,165.49M,9.96,10.56,-,1.91,1.19,0.95,-,18.10%,-10.63%,-,-,-,11.72,2.00%,20093,165.49M,13.88M,8.00M,7.40%,-3.98%,25.70%,2.60%,0.47%,1.6,23.42K,11.72,2.00%,20093,2.99%,14.79%,-12.41%,-18.16%,-2.33%,-21.29%,6.89%,7.73%,2.00,23.42K,0.86,11.72,2.00%,20093,165.49M,-,1.20%,12.70%,39.60%,-,-,0.11,0.11,-,77.90%,19.00%,-,11.72,2.00%,20093,-,0.91,8.95%,6.14%,-10.04%,-22.23%,67.91%,56.39,11.72,2.00%,-2.90%,5.05%,20093
CBOE,2020-06-05,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,10.74B,21.48,97.84,-3.16%,2019179,10.74B,21.48,19.04,7.07,3.81,3.48,-,-,11.00%,-2.10%,21.47%,3.04%,-,97.84,-3.16%,2019179,10.74B,109.72M,108.75M,0.52%,-5.40%,85.96%,-,2.34%,2.4,1.06M,97.84,-3.16%,2019179,-8.10%,0.37%,-16.21%,-18.63%,-11.91%,-18.47%,3.41%,3.25%,2.50,1.06M,1.9,97.84,-3.16%,2019179,10.74B,1.47%,-,-,-,-,-,-,-,-,-,-,May 01/b,97.84,-3.16%,2019179,-,3.44,-3.14%,0.20%,-12.20%,-23.52%,35.87%,45.81,97.84,-3.16%,-4.22%,1.11%,2019179
CBPO,2020-06-05,"China Biologic Products Holdings, Inc.",Healthcare,Biotechnology,China,4.17B,27.60,109.0,-0.58%,120972,4.17B,27.60,20.66,2.93,7.77,2.42,4.20,16.62,6.30%,7.63%,5.40%,9.41%,15.70%,109.0,-0.58%,120972,4.17B,38.47M,17.64M,54.17%,0.00%,41.30%,6.90%,2.42%,3.62,117.82K,109.0,-0.58%,120972,-1.60%,0.52%,-5.54%,-6.85%,22.42%,-6.34%,1.20%,1.94%,3.00,117.82K,1.03,109.0,-0.58%,120972,4.17B,-,7.80%,9.00%,8.00%,10.50,8.90,0.00,0.00,64.20%,35.00%,28.50%,May 20/a,109.0,-0.58%,120972,0.82,2.2,0.16%,1.77%,-2.57%,-8.74%,23.86%,54.62,109.0,-0.58%,-0.32%,-0.26%,120972
CBRE,2020-06-05,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,18.16B,14.24,54.02,7.16%,3428922,18.16B,14.24,15.22,1.29,0.74,2.95,28.90,15.50,20.00%,22.84%,21.00%,11.00%,21.40%,54.02,7.16%,3428922,18.16B,334.97M,332.34M,0.80%,-3.06%,96.50%,-0.60%,2.16%,2.61,2.74M,54.02,7.16%,3428922,22.83%,41.60%,-1.03%,-5.28%,11.82%,-11.86%,4.69%,4.98%,2.10,2.74M,1.25,54.02,7.16%,3428922,18.16B,-,8.40%,22.20%,13.10%,1.20,1.20,0.30,0.51,21.50%,5.40%,5.20%,May 07/b,54.02,7.16%,3428922,1.73,2.55,29.84%,31.50%,4.26%,-16.57%,85.20%,74.81,54.02,7.16%,0.84%,6.27%,3428922
CBRL,2020-06-05,"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,Restaurants,USA,3.14B,14.19,129.62,3.22%,1312276,3.14B,14.19,25.22,47.30,1.01,4.93,43.11,92.84,2.80%,136.93%,11.00%,0.30%,2.70%,129.62,3.22%,1312276,3.14B,23.95M,23.74M,0.87%,1.44%,79.70%,-8.98%,9.88%,2.69,873.64K,129.62,3.22%,1312276,20.99%,54.96%,-2.22%,-15.50%,-21.82%,-15.69%,6.02%,5.63%,3.00,873.64K,1.5,129.62,3.22%,1312276,3.14B,4.01%,11.80%,35.30%,23.90%,0.60,0.30,0.73,0.73,70.00%,9.20%,7.00%,Jun 02/b,129.62,3.22%,1312276,1.07,6.79,29.21%,41.48%,-5.79%,-27.14%,141.78%,76.88,129.62,3.22%,-1.93%,5.25%,1312276
CBSH,2020-06-05,"Commerce Bancshares, Inc.",Financial,Banks - Regional,USA,7.63B,21.26,68.25,4.23%,543835,7.63B,21.26,23.42,-,8.31,2.44,4.13,25.72,-0.50%,22.13%,11.80%,-,7.40%,68.25,4.23%,543835,7.63B,111.12M,108.10M,2.40%,-8.65%,71.40%,-2.27%,4.74%,8.0,639.84K,68.25,4.23%,543835,7.09%,19.15%,17.75%,7.16%,21.67%,0.46%,2.60%,3.56%,3.30,639.84K,0.85,68.25,4.23%,543835,7.63B,1.58%,1.40%,12.00%,22.10%,-,-,0.24,0.24,-,78.70%,39.60%,Apr 28/b,68.25,4.23%,543835,1.02,2.49,13.70%,19.72%,12.23%,-5.10%,49.97%,69.53,68.25,4.23%,-0.90%,5.18%,543835
CBT,2020-06-05,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,2.38B,20.87,41.19,1.48%,524614,2.38B,20.87,15.04,3.77,0.76,2.52,16.75,20.68,261.40%,45.85%,-2.50%,5.54%,-1.80%,41.19,1.48%,524614,2.38B,56.60M,55.72M,0.80%,-0.86%,87.00%,-1.10%,1.96%,2.35,463.75K,41.19,1.48%,524614,15.31%,33.30%,16.69%,-10.84%,-7.69%,-13.32%,4.55%,4.78%,2.10,463.75K,1.13,41.19,1.48%,524614,2.38B,3.40%,3.40%,10.40%,10.90%,2.10,1.20,1.29,1.29,20.70%,7.80%,3.40%,May 11/a,41.19,1.48%,524614,1.78,1.87,21.20%,32.14%,3.01%,-18.56%,105.95%,73.48,41.19,1.48%,-2.53%,4.11%,524614
CBTX,2020-06-05,"CBTX, Inc.",Financial,Banks - Regional,USA,537.74M,11.64,22.12,5.79%,86684,537.74M,11.64,18.33,-,3.54,1.03,1.78,12.08,6.70%,2.55%,15.00%,-,9.60%,22.12,5.79%,86684,537.74M,24.93M,17.56M,13.80%,-,30.70%,-2.20%,0.55%,1.11,87.21K,22.12,5.79%,86684,8.33%,27.64%,-2.73%,-25.22%,-17.92%,-28.92%,5.38%,5.58%,3.00,87.21K,0.99,22.12,5.79%,86684,537.74M,1.81%,1.40%,9.00%,22.60%,-,-,0.00,0.00,-,84.20%,31.30%,-,22.12,5.79%,86684,-,1.27,18.74%,24.72%,-13.40%,-30.29%,76.96%,69.28,22.12,5.79%,-0.27%,6.07%,86684
CBU,2020-06-05,"Community Bank System, Inc.",Financial,Banks - Regional,USA,3.44B,20.35,64.81,6.28%,296836,3.44B,20.35,22.85,2.54,8.81,1.71,5.97,-,-0.50%,5.55%,7.80%,8.00%,8.50%,64.81,6.28%,296836,3.44B,52.04M,51.36M,1.00%,-7.02%,75.00%,0.94%,5.17%,7.88,336.64K,64.81,6.28%,296836,9.07%,10.94%,2.97%,-3.93%,1.60%,-8.64%,3.06%,3.79%,2.90,336.64K,0.88,64.81,6.28%,296836,3.44B,2.53%,-,-,16.00%,-,-,0.05,0.05,-,-,-,Apr 20/b,64.81,6.28%,296836,0.78,2.72,13.24%,9.65%,1.39%,-10.77%,37.86%,62.52,64.81,6.28%,0.79%,5.44%,296836
CBZ,2020-06-05,"CBIZ, Inc.",Industrials,Specialty Business Services,USA,1.46B,20.87,26.3,7.00%,1096021,1.46B,20.87,18.61,1.39,1.53,2.14,6.75,15.71,16.60%,19.44%,16.60%,15.00%,5.70%,26.3,7.00%,1096021,1.46B,54.57M,51.87M,2.70%,-18.14%,91.00%,-0.64%,0.83%,1.28,336.43K,26.3,7.00%,1096021,16.11%,22.55%,1.19%,-2.05%,29.49%,-2.45%,4.20%,3.31%,1.30,336.43K,3.26,26.3,7.00%,1096021,1.46B,-,4.80%,10.70%,7.70%,2.20,2.20,0.57,0.00,15.50%,11.00%,7.30%,May 06/b,26.3,7.00%,1096021,0.61,0.99,17.73%,19.59%,6.98%,-8.46%,56.08%,72.52,26.3,7.00%,4.49%,2.40%,1096021
CC,2020-06-05,The Chemours Company,Basic Materials,Specialty Chemicals,USA,2.81B,-,16.52,4.89%,2428205,2.81B,-,7.22,-,0.52,4.14,3.94,23.26,-105.80%,45.73%,-16.50%,-,-3.00%,16.52,4.89%,2428205,2.81B,164.25M,162.64M,0.80%,-12.78%,83.30%,1.29%,9.03%,4.7,3.13M,16.52,4.89%,2428205,26.01%,34.09%,22.64%,7.06%,-27.13%,-8.68%,5.70%,6.18%,2.70,3.13M,0.78,16.52,4.89%,2428205,2.81B,6.05%,-0.60%,-6.00%,8.70%,1.90,1.10,6.13,6.16,19.50%,6.90%,-0.80%,May 05/a,16.52,4.89%,2428205,2.40,0.99,27.78%,46.50%,13.95%,-34.83%,135.33%,73.11,16.52,4.89%,-3.28%,8.44%,2428205
CCAP,2020-06-05,"Crescent Capital BDC, Inc.",Financial,Asset Management,USA,349.70M,-,12.42,-3.42%,58159,349.70M,-,7.31,-,5.75,-,-,-,-9.80%,3.00%,-,-,-,12.42,-3.42%,58159,349.70M,28.16M,28.08M,-,-,1.04%,-,0.29%,1.84,44.91K,12.42,-3.42%,58159,1.22%,15.00%,-22.13%,-,-,-24.27%,4.52%,5.84%,2.00,44.91K,1.3,12.42,-3.42%,58159,349.70M,13.20%,-,-,-,-,-,-,-,-,-,-,May 12/a,12.42,-3.42%,58159,-,0.68,7.43%,15.49%,0.77%,-30.96%,100.00%,61.02,12.42,-3.42%,-5.84%,2.57%,58159
CCBG,2020-06-05,"Capital City Bank Group, Inc.",Financial,Banks - Regional,USA,398.86M,13.64,23.23,8.50%,62419,398.86M,13.64,16.99,2.27,3.55,1.16,1.48,-,38.20%,-1.44%,28.20%,6.00%,7.60%,23.23,8.50%,62419,398.86M,16.81M,12.74M,17.00%,0.87%,41.80%,-5.14%,4.08%,9.11,57.07K,23.23,8.50%,62419,14.15%,19.25%,-3.57%,-18.92%,-1.90%,-23.84%,5.26%,5.94%,3.00,57.07K,1.09,23.23,8.50%,62419,398.86M,2.41%,0.90%,8.80%,24.00%,-,-,0.16,0.16,-,91.50%,25.50%,-,23.23,8.50%,62419,0.91,1.44,20.48%,20.54%,-8.54%,-24.94%,48.81%,66.6,23.23,8.50%,1.75%,6.63%,62419
CCC,2020-06-05,Clarivate Analytics Plc,Technology,Information Technology Services,United Kingdom,8.07B,-,22.49,0.40%,4042287,8.07B,-,30.11,-,8.23,3.69,26.22,213.05,-496.20%,32.68%,-,-,-,22.49,0.40%,4042287,8.07B,343.13M,210.11M,14.99%,0.00%,85.90%,16.75%,1.59%,2.1,1.59M,22.49,0.40%,4042287,-1.75%,-6.84%,1.31%,28.22%,54.46%,33.87%,4.14%,3.87%,1.90,1.59M,2.54,22.49,0.40%,4042287,8.07B,-,-5.60%,-14.60%,-1.80%,0.90,0.90,0.92,0.92,65.40%,-4.60%,-23.00%,May 04/b,22.49,0.40%,4042287,-,1.03,-2.27%,0.07%,17.18%,-9.97%,65.37%,48.44,22.49,0.40%,-0.04%,0.45%,4042287
CCD,2020-06-05,Calamos Dynamic Convertible and Income Fund,Financial,Closed-End Fund - Equity,USA,518.85M,-,21.19,1.29%,159941,518.85M,-,-,-,-,-,-,-,-,-,-,-,-,21.19,1.29%,159941,518.85M,24.49M,-,19.13%,-,31.28%,-,-,0.13,127.43K,21.19,1.29%,159941,4.59%,19.58%,6.27%,2.47%,11.47%,0.14%,1.67%,2.57%,-,127.43K,1.26,21.19,1.29%,159941,518.85M,9.44%,-,-,-,-,-,-,-,-,-,-,-,21.19,1.29%,159941,-,0.51,9.71%,19.24%,7.42%,-6.84%,120.27%,77.45,21.19,1.29%,0.09%,1.20%,159941
CCEP,2020-06-05,Coca-Cola European Partners plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,20.16B,16.48,42.48,5.38%,2663567,20.16B,16.48,15.65,-,1.51,2.88,57.59,-,28.60%,32.65%,3.90%,-0.63%,14.10%,42.48,5.38%,2663567,20.16B,461.63M,199.06M,56.15%,0.00%,31.40%,-2.56%,1.03%,0.87,2.36M,42.48,5.38%,2663567,12.68%,11.94%,-19.53%,-16.36%,-25.93%,-16.51%,3.01%,3.38%,2.40,2.36M,1.13,42.48,5.38%,2663567,20.16B,6.47%,-,-,9.40%,0.80,0.60,0.91,1.04,38.20%,-,-,-,42.48,5.38%,2663567,0.60,1.56,12.44%,9.57%,-12.95%,-27.93%,49.84%,62.64,42.48,5.38%,2.19%,3.13%,2663567
CCF,2020-06-05,Chase Corporation,Basic Materials,Specialty Chemicals,USA,1.01B,30.14,107.6,3.50%,35036,1.01B,30.14,-,-,3.68,3.57,14.94,17.53,-25.30%,-,3.90%,-,4.70%,107.6,3.50%,35036,1.01B,9.36M,7.33M,1.30%,-2.00%,70.90%,0.35%,2.12%,5.34,29.14K,107.6,3.50%,35036,7.98%,23.01%,24.32%,-9.13%,3.24%,-9.18%,3.50%,4.54%,-,29.14K,1.2,107.6,3.50%,35036,1.01B,0.74%,10.70%,12.30%,12.60%,6.30,4.70,0.00,0.00,37.10%,17.00%,12.20%,-,107.6,3.50%,35036,0.68,5.15,13.89%,20.30%,6.68%,-15.61%,106.92%,67.5,107.6,3.50%,0.19%,3.31%,35036
CCH,2020-06-05,Collier Creek Holdings,Financial,Shell Companies,USA,561.00M,121.43,12.75,16.97%,18214218,561.00M,121.43,-,-,-,143.26,-,-,-,-,-,-,-,12.75,16.97%,18214218,561.00M,44.00M,40.41M,-,-,65.16%,-,0.22%,0.27,327.39K,12.75,16.97%,18214218,18.94%,23.79%,18.06%,25.12%,29.44%,24.03%,2.66%,1.71%,-,327.39K,55.64,12.75,16.97%,18214218,561.00M,-,-,-,-,-,-,-,-,-,-,-,-,12.75,16.97%,18214218,-,0.29,19.03%,22.43%,23.16%,14.86%,29.57%,91.78,12.75,16.97%,6.34%,10.00%,18214218
CCI,2020-06-05,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,70.14B,95.36,168.6,0.57%,3264993,70.14B,95.36,61.31,4.54,12.14,6.93,226.25,-,45.70%,25.97%,14.50%,21.00%,10.20%,168.6,0.57%,3264993,70.14B,416.00M,414.60M,0.50%,-1.02%,93.40%,0.07%,2.40%,3.72,2.67M,168.6,0.57%,3264993,-2.07%,8.78%,4.84%,25.33%,24.84%,18.61%,2.96%,3.08%,2.50,2.67M,1.22,168.6,0.57%,3264993,70.14B,2.85%,1.90%,7.00%,5.40%,0.50,0.50,1.75,1.85,65.80%,26.90%,12.80%,Apr 29/a,168.6,0.57%,3264993,0.36,5.27,5.24%,7.53%,15.24%,-4.66%,47.66%,59.67,168.6,0.57%,-0.67%,1.25%,3264993
CCJ,2020-06-05,Cameco Corporation,Energy,Uranium,Canada,4.06B,76.57,10.26,-0.19%,2363221,4.06B,76.57,330.97,2.17,2.92,1.14,4.52,10.26,-55.50%,144.40%,5.00%,35.25%,-4.90%,10.26,-0.19%,2363221,4.06B,395.80M,395.15M,0.20%,0.00%,70.10%,-0.91%,2.49%,2.64,3.73M,10.26,-0.19%,2363221,-5.61%,-3.39%,20.99%,9.73%,1.48%,15.28%,3.30%,3.33%,2.40,3.73M,0.63,10.26,-0.19%,2363221,4.06B,0.58%,1.00%,1.50%,1.40%,5.60,4.60,0.21,0.00,13.60%,9.10%,3.80%,May 01/b,10.26,-0.19%,2363221,0.89,0.38,-0.77%,6.57%,13.29%,-8.88%,93.55%,50.95,10.26,-0.19%,-2.19%,2.04%,2363221
CCK,2020-06-05,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,USA,9.57B,19.06,69.91,0.56%,1010335,9.57B,19.06,12.44,2.01,0.82,5.63,12.51,12.67,15.80%,12.18%,6.20%,9.48%,5.10%,69.91,0.56%,1010335,9.57B,134.10M,132.15M,1.90%,-0.13%,93.30%,-0.56%,2.00%,1.71,1.54M,69.91,0.56%,1010335,6.85%,13.99%,-4.38%,-7.29%,17.57%,-3.63%,2.60%,3.14%,1.90,1.54M,0.66,69.91,0.56%,1010335,9.57B,-,3.20%,31.50%,10.10%,1.30,0.80,5.19,5.29,19.80%,9.60%,4.20%,Apr 20/a,69.91,0.56%,1010335,1.27,2.17,10.10%,14.00%,3.25%,-13.23%,62.69%,70.25,69.91,0.56%,-2.05%,2.66%,1010335
CCL,2020-06-05,Carnival Corporation & Plc,Consumer Cyclical,Travel Services,USA,16.15B,7.97,21.51,16.40%,112001408,16.15B,7.97,796.67,-,0.77,0.61,11.92,-,-2.70%,878.90%,22.60%,-14.29%,5.60%,21.51,16.40%,112001408,16.15B,684.00M,505.99M,0.30%,124.76%,57.90%,-13.40%,23.30%,1.68,70.31M,21.51,16.40%,112001408,36.66%,67.78%,-20.77%,-50.98%,-57.96%,-57.68%,8.61%,8.29%,2.80,70.31M,1.59,21.51,16.40%,112001408,16.15B,-,4.20%,7.60%,8.70%,0.30,0.20,0.40,0.53,41.30%,10.40%,8.90%,Apr 07,21.51,16.40%,112001408,1.94,1.66,44.01%,58.53%,-38.64%,-60.06%,175.77%,76.25,21.51,16.40%,-4.19%,21.48%,112001408
CCLP,2020-06-05,CSI Compressco LP,Energy,Oil & Gas Equipment & Services,USA,50.42M,-,1.02,24.92%,1597854,50.42M,-,-,-,0.11,1.38,6.81,-,49.80%,-16.20%,-24.00%,3.70%,11.00%,1.02,24.92%,1597854,50.42M,47.18M,46.14M,2.60%,0.00%,40.50%,-1.73%,0.80%,0.74,498.19K,1.02,24.92%,1597854,134.48%,111.40%,-34.19%,-55.26%,-67.62%,-62.43%,24.58%,13.61%,3.40,498.19K,3.21,1.02,24.92%,1597854,50.42M,3.92%,-2.60%,-46.10%,4.90%,1.10,0.70,18.34,18.34,34.40%,6.60%,-4.70%,May 04/b,1.02,24.92%,1597854,1.87,0.1,118.23%,90.04%,-46.80%,-74.37%,192.68%,80.08,1.02,24.92%,8.38%,15.26%,1597854
CCM,2020-06-05,Concord Medical Services Holdings Limited,Healthcare,Medical Care Facilities,China,63.33M,-,1.35,-0.37%,37056,63.33M,-,-,-,2.28,-,4.14,-,-30.60%,-,-39.10%,20.00%,-20.00%,1.35,-0.37%,37056,63.33M,43.46M,23.09M,18.00%,0.00%,1.30%,0.16%,0.02%,0.4,13.04K,1.35,-0.37%,37056,-2.88%,-11.48%,-41.76%,-51.44%,-46.00%,-49.40%,10.79%,6.79%,-,13.04K,2.84,1.35,-0.37%,37056,63.33M,-,-7.00%,-94.50%,-26.60%,0.50,0.40,-,-,-8.00%,-,-,-,1.35,-0.37%,37056,0.18,0.12,-10.58%,-18.61%,-41.75%,-53.77%,19.47%,35.77,1.35,-0.37%,-2.88%,2.58%,37056
CCMP,2020-06-05,Cabot Microelectronics Corporation,Technology,Semiconductor Equipment & Materials,USA,4.65B,59.77,158.82,3.62%,204970,4.65B,59.77,23.11,4.60,4.16,4.61,-,52.26,-66.10%,1.48%,-4.10%,13.00%,19.60%,158.82,3.62%,204970,4.65B,29.29M,28.77M,0.90%,-22.63%,-,1.24%,3.17%,3.0,303.30K,158.82,3.62%,204970,9.64%,30.30%,14.32%,25.05%,52.18%,10.05%,3.67%,4.77%,2.80,303.30K,0.68,158.82,3.62%,204970,4.65B,1.07%,3.00%,6.90%,5.00%,2.10,1.60,0.91,1.07,42.80%,13.20%,6.30%,May 06/a,158.82,3.62%,204970,1.26,7.55,16.66%,28.80%,16.79%,-6.10%,86.27%,68.37,158.82,3.62%,-0.42%,4.06%,204970
CCNE,2020-06-05,CNB Financial Corporation,Financial,Banks - Regional,USA,328.65M,7.87,20.35,8.82%,66688,328.65M,7.87,9.81,-,2.07,0.96,1.94,7.07,19.30%,4.38%,10.50%,-,12.40%,20.35,8.82%,66688,328.65M,15.28M,14.68M,3.10%,5.39%,44.80%,-0.62%,0.94%,2.26,60.66K,20.35,8.82%,66688,14.84%,29.04%,-9.60%,-35.00%,-20.07%,-37.73%,5.44%,6.64%,2.00,60.66K,1.1,20.35,8.82%,66688,328.65M,3.34%,1.10%,12.90%,27.00%,-,-,0.22,0.22,-,69.60%,24.70%,-,20.35,8.82%,66688,1.01,1.29,23.16%,21.55%,-21.63%,-39.76%,53.58%,64.16,20.35,8.82%,0.94%,7.81%,66688
CCO,2020-06-05,"Clear Channel Outdoor Holdings, Inc.",Communication Services,Advertising Agencies,USA,636.59M,-,1.29,35.79%,13393578,636.59M,-,-,-,0.24,-,1.60,4.80,-45.80%,37.20%,54.88%,1.00%,-1.90%,1.29,35.79%,13393578,636.59M,463.74M,464.29M,0.70%,0.88%,98.00%,-2.30%,4.42%,5.15,3.99M,1.29,35.79%,13393578,33.57%,70.68%,-14.00%,-50.00%,-73.40%,-54.90%,12.10%,11.64%,2.70,3.99M,3.35,1.29,35.79%,13393578,636.59M,-,-5.70%,15.80%,2.50%,1.00,1.00,-,-,45.10%,5.60%,-13.80%,May 06/b,1.29,35.79%,13393578,2.13,0.12,37.08%,58.69%,-37.00%,-76.11%,255.86%,72.98,1.29,35.79%,27.72%,6.32%,13393578
CCOI,2020-06-05,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services,USA,3.74B,96.44,78.31,2.02%,380541,3.74B,96.44,58.75,2.16,6.76,-,9.96,-,29.50%,33.84%,116.30%,44.61%,7.50%,78.31,2.02%,380541,3.74B,45.66M,41.99M,10.50%,-1.00%,88.50%,-0.01%,4.14%,3.44,505.34K,78.31,2.02%,380541,2.34%,-8.51%,-9.99%,25.86%,31.75%,18.99%,3.99%,3.91%,3.00,505.34K,0.75,78.31,2.02%,380541,3.74B,3.47%,-,-,11.20%,5.10,5.10,-,-,59.90%,-,-,May 07/b,78.31,2.02%,380541,0.23,3.06,1.68%,-4.32%,12.42%,-15.76%,47.09%,48.96,78.31,2.02%,1.95%,0.07%,380541
CCR,2020-06-05,CONSOL Coal Resources LP,Energy,Thermal Coal,USA,129.00M,4.24,4.59,5.85%,72199,129.00M,4.24,19.14,-,0.41,0.68,645.00,-,-31.70%,-19.19%,-18.50%,-,-4.40%,4.59,5.85%,72199,129.00M,27.67M,10.46M,0.40%,0.00%,20.50%,-8.47%,1.62%,3.39,49.85K,4.59,5.85%,72199,7.59%,-4.69%,-41.85%,-47.38%,-70.63%,-51.13%,5.24%,6.53%,2.70,49.85K,1.45,4.59,5.85%,72199,129.00M,-,6.10%,14.90%,13.50%,0.70,0.50,1.00,1.05,-,12.10%,9.50%,May 11/b,4.59,5.85%,72199,0.98,0.3,5.60%,-6.92%,-49.19%,-72.52%,16.30%,51.31,4.59,5.85%,3.47%,2.30%,72199
CCRC,2020-06-05,"China Customer Relations Centers, Inc.",Technology,Information Technology Services,China,84.36M,8.55,4.7,-2.08%,7253,84.36M,8.55,-,-,0.57,1.50,3.87,12.98,83.40%,-,35.40%,-,38.10%,4.7,-2.08%,7253,84.36M,18.33M,12.01M,34.51%,0.00%,0.30%,-80.34%,0.12%,1.41,10.30K,4.7,-2.08%,7253,5.86%,13.25%,-37.75%,-55.02%,-63.08%,-50.79%,7.47%,5.05%,-,10.30K,0.7,4.7,-2.08%,7253,84.36M,-,14.60%,20.30%,25.90%,3.40,3.40,0.00,0.06,25.10%,7.00%,6.80%,-,4.7,-2.08%,7253,0.75,0.3,4.02%,-3.22%,-44.54%,-70.88%,41.57%,51.9,4.7,-2.08%,-1.05%,-1.04%,7253
CCRN,2020-06-05,"Cross Country Healthcare, Inc.",Industrials,Staffing & Employment Services,USA,251.36M,-,6.49,3.26%,337836,251.36M,-,32.64,-,0.30,1.45,19.95,35.40,-241.00%,70.00%,-9.60%,32.71%,5.90%,6.49,3.26%,337836,251.36M,35.87M,35.08M,5.30%,6.33%,95.90%,0.52%,2.86%,2.59,387.46K,6.49,3.26%,337836,7.00%,7.53%,-30.31%,-45.42%,-10.17%,-44.10%,5.33%,9.63%,2.70,387.46K,0.87,6.49,3.26%,337836,251.36M,-,-14.90%,-35.70%,-21.20%,1.90,1.90,0.42,0.00,24.50%,-1.80%,-6.90%,May 07/a,6.49,3.26%,337836,0.98,0.52,7.88%,3.50%,-31.27%,-51.60%,44.33%,54.59,6.49,3.26%,-0.08%,3.34%,337836
CCS,2020-06-05,"Century Communities, Inc.",Consumer Cyclical,Residential Construction,USA,1.01B,8.37,31.7,5.46%,333708,1.01B,8.37,8.86,0.92,0.39,0.97,2.23,-,12.50%,8.30%,28.70%,9.06%,47.60%,31.7,5.46%,333708,1.01B,33.21M,29.06M,3.70%,-7.84%,95.20%,-0.11%,11.53%,5.97,560.90K,31.7,5.46%,333708,7.31%,48.55%,-5.79%,13.17%,14.69%,15.90%,4.44%,6.20%,2.70,560.90K,0.59,31.7,5.46%,333708,1.01B,-,4.70%,12.20%,6.80%,-,-,1.31,1.43,19.50%,7.10%,4.70%,Apr 29/a,31.7,5.46%,333708,1.90,1.85,18.36%,53.18%,16.56%,-19.36%,250.66%,73.08,31.7,5.46%,-0.56%,6.05%,333708
CCU,2020-06-05,Compania Cervecerias Unidas S.A.,Consumer Defensive,Beverages - Brewers,Chile,2.91B,20.67,15.75,1.35%,152837,2.91B,20.67,20.97,1.82,1.27,1.75,10.04,-,-57.60%,9.48%,4.10%,11.37%,7.00%,15.75,1.35%,152837,2.91B,184.75M,57.45M,62.00%,0.00%,19.70%,-1.58%,0.55%,1.02,309.30K,15.75,1.35%,152837,12.42%,12.98%,2.41%,-14.17%,-42.31%,-16.97%,3.86%,3.57%,3.40,309.30K,0.49,15.75,1.35%,152837,2.91B,4.00%,5.00%,8.70%,11.60%,1.60,1.10,0.20,0.26,49.70%,12.30%,6.10%,Mar 12/b,15.75,1.35%,152837,0.72,0.56,13.78%,12.79%,-12.44%,-46.43%,40.00%,68.11,15.75,1.35%,0.51%,0.84%,152837
CCX,2020-06-05,Churchill Capital Corp II,Financial,Shell Companies,USA,752.10M,-,10.9,2.06%,139571,752.10M,-,-,-,-,42.75,-,-,-,-,-,-,-,10.9,2.06%,139571,752.10M,69.00M,-,-,-,38.40%,-,-,0.02,285.04K,10.9,2.06%,139571,4.31%,7.39%,3.32%,6.13%,-,5.55%,1.77%,1.65%,-,285.04K,0.49,10.9,2.06%,139571,752.10M,-,-,-,-,-,-,-,-,-,-,-,-,10.9,2.06%,139571,-,0.2,4.81%,6.92%,6.14%,-1.62%,17.84%,72.67,10.9,2.06%,0.93%,1.12%,139571
CCXI,2020-06-05,"ChemoCentryx, Inc.",Healthcare,Biotechnology,USA,3.59B,-,59.99,-0.02%,474962,3.59B,-,-,-,106.24,61.21,19.55,-,-28.00%,-11.30%,2.10%,-,-,59.99,-0.02%,474962,3.59B,61.30M,43.92M,4.70%,-35.12%,70.80%,8.72%,6.43%,4.23,667.93K,59.99,-0.02%,474962,-3.85%,11.61%,26.78%,113.64%,588.75%,51.68%,5.32%,6.83%,1.50,667.93K,0.71,59.99,-0.02%,474962,3.59B,-,-30.70%,-100.50%,-68.00%,3.20,3.20,0.40,0.40,-,-,-,May 11/a,59.99,-0.02%,474962,2.05,3.43,3.39%,17.18%,89.73%,-5.94%,873.86%,58.42,59.99,-0.02%,-1.66%,1.67%,474962
