Ticker,Company,Sector,Industry,Country
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,USA
CNXM,CNX Midstream Partners LP,Energy,Oil & Gas Midstream,USA
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,USA
CNXT,VanEck Vectors ChinaAMC SME-ChiNext ETF,Financial,Exchange Traded Fund,USA
CNYA,iShares MSCI China A ETF,Financial,Exchange Traded Fund,USA
CO,Global Cord Blood Corporation,Healthcare,Diagnostics & Research,Hong Kong
COCP,"Cocrystal Pharma, Inc.",Healthcare,Biotechnology,USA
CODA,"Coda Octopus Group, Inc.",Industrials,Aerospace & Defense,USA
CODI,Compass Diversified Holdings LLC,Industrials,Conglomerates,USA
CODX,"Co-Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA
COE,China Online Education Group,Consumer Defensive,Education & Training Services,China
COF,Capital One Financial Corporation,Financial,Credit Services,USA
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA
COHN,Cohen & Company Inc.,Financial,Capital Markets,USA
COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA
COLB,"Columbia Banking System, Inc.",Financial,Banks - Regional,USA
COLD,Americold Realty Trust,Real Estate,REIT - Industrial,USA
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,USA
COM,Direxion Auspice Broad Commodity Strategy ETF,Financial,Exchange Traded Fund,USA
COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,Financial,Exchange Traded Fund,USA
COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA
COMT,iShares Commodities Select Strategy ETF,Financial,Exchange Traded Fund,USA
CONE,CyrusOne Inc.,Real Estate,REIT - Specialty,USA
CONN,"Conn's, Inc.",Consumer Cyclical,Specialty Retail,USA
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA
COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA
COP,ConocoPhillips,Energy,Oil & Gas E&P,USA
COPX,Global X Copper Miners ETF,Financial,Exchange Traded Fund,USA
COR,CoreSite Realty Corporation,Real Estate,REIT - Office,USA
CORE,"Core-Mark Holding Company, Inc.",Consumer Defensive,Food Distribution,USA
CORN,Teucrium Corn Fund,Financial,Exchange Traded Fund,USA
CORP,PIMCO Investment Grade Corporate Bond Index ETF,Financial,Exchange Traded Fund,USA
CORR,"CorEnergy Infrastructure Trust, Inc.",Real Estate,REIT - Diversified,USA
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,USA
CORV,Correvio Pharma Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA
COUP,Coupa Software Incorporated,Technology,Software - Application,USA
COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,Financial,Exchange Traded Fund,USA
COWN,Cowen Inc.,Financial,Capital Markets,USA
COWZ,Pacer US Cash Cows 100 ETF,Financial,Exchange Traded Fund,USA
CP,Canadian Pacific Railway Limited,Industrials,Railroads,Canada
CPA,"Copa Holdings, S.A.",Industrials,Airlines,Panama
CPAA,Conyers Park II Acquisition Corp.,Financial,Shell Companies,USA
CPAC,Cementos Pacasmayo S.A.A.,Basic Materials,Building Materials,Peru
CPAH,CounterPath Corporation,Technology,Software - Application,Canada
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA
CPE,Callon Petroleum Company,Energy,Oil & Gas E&P,USA
CPER,"United States Copper Index Fund, LP",Financial,Exchange Traded Fund,USA
CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA
CPG,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,Canada
CPHC,Canterbury Park Holding Corporation,Consumer Cyclical,Gambling,USA
CPHI,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China
CPI,IQ Real Return ETF,Financial,Exchange Traded Fund,USA
CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA
CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,USA
CPLG,CorePoint Lodging Inc.,Real Estate,REIT - Hotel & Motel,USA
CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece
CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CPS,Cooper-Standard Holdings Inc.,Consumer Cyclical,Auto Parts,USA
CPSH,CPS Technologies Corporation,Technology,Electronic Components,USA
CPSI,"Computer Programs and Systems, Inc.",Healthcare,Health Information Services,USA
CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA
CPST,Capstone Turbine Corporation,Industrials,Specialty Industrial Machinery,USA
CPT,Camden Property Trust,Real Estate,REIT - Residential,USA
CPTA,Capitala Finance Corp.,Financial,Asset Management,USA
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA
CQQQ,Invesco China Technology ETF,Financial,Exchange Traded Fund,USA
CR,Crane Co.,Industrials,Specialty Industrial Machinery,USA
CRAI,"CRA International, Inc.",Industrials,Consulting Services,USA
CRAK,VanEck Vectors Oil Refiners ETF,Financial,Exchange Traded Fund,USA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Financial,Exchange Traded Fund,USA
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA
CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA
CRD-A,Crawford & Company,Financial,Insurance Brokers,USA
CRD-B,Crawford & Company,Financial,Insurance Brokers,USA
CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,USA
CREE,"Cree, Inc.",Technology,Semiconductors,USA
CREG,China Recycling Energy Corporation,Industrials,Waste Management,China
CRESY,Cresud SACIF y A ADR,Consumer Defensive,Farm Products,Argentina
CREX,"Creative Realities, Inc.",Technology,Software - Application,USA
CRF,"Cornerstone Total Return Fund, Inc.",Financial,Asset Management,USA
CRH,CRH plc,Basic Materials,Building Materials,Ireland
CRHM,CRH Medical Corporation,Healthcare,Medical Instruments & Supplies,Canada
CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,USA
CRIS,"Curis, Inc.",Healthcare,Biotechnology,USA
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA
CRM,"salesforce.com, inc.",Technology,Software - Application,USA
CRMD,CorMedix Inc.,Healthcare,Biotechnology,USA
CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
CRNC,Cerence Inc.,Technology,Software - Application,USA
CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CROC,ProShares UltraShort Australian Dollar,Financial,Exchange Traded Fund,USA
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
CROP,IQ Global Agribusiness Small Cap ETF,Financial,Exchange Traded Fund,USA
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,USA
CRSA,Crescent Acquisition Corp.,Financial,Shell Companies,USA
CRSAU,Crescent Acquisition Corp.,Financial,Shell Companies,USA
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas E&P,USA
CRTO,Criteo S.A.,Communication Services,Advertising Agencies,France
CRTX,"Cortexyme, Inc.",Healthcare,Biotechnology,USA
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA
CRVL,CorVel Corporation,Financial,Insurance Brokers,USA
CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA
CRWS,"Crown Crafts, Inc.",Consumer Cyclical,Apparel Manufacturing,USA
CRY,"CryoLife, Inc.",Healthcare,Medical Devices,USA
CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland
CSA,VictoryShares US Small Cap Volatility Wtd ETF,Financial,Exchange Traded Fund,USA
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA
CSBR,"Champions Oncology, Inc.",Healthcare,Biotechnology,USA
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA
CSD,Invesco S&P Spin-Off ETF,Financial,Exchange Traded Fund,USA
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,Financial,Exchange Traded Fund,USA
CSFL,CenterState Bank Corporation,Financial,Banks - Regional,USA
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA
CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,USA
CSIQ,Canadian Solar Inc.,Technology,Solar,Canada
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA
CSLT,"Castlight Health, Inc.",Healthcare,Health Information Services,USA
CSM,ProShares Large Cap Core Plus,Financial,Exchange Traded Fund,USA
CSML,IQ Chaikin U.S. Small Cap ETF,Financial,Exchange Traded Fund,USA
CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,USA
CSPI,CSP Inc.,Technology,Information Technology Services,USA
CSPR,Casper Sleep Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,USA
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Communication Services,Broadcasting,USA
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",Communication Services,Broadcasting,USA
CSTE,Caesarstone Ltd.,Industrials,Building Products & Equipment,Israel
CSTL,"Castle Biosciences, Inc.",Healthcare,Diagnostics & Research,USA
CSTM,Constellium SE,Basic Materials,Aluminum,France
CSTR,"Capstar Financial Holdings, Inc.",Financial,Banks - Regional,USA
CSU,Capital Senior Living Corporation,Healthcare,Medical Care Facilities,USA
CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,USA
CSWC,Capital Southwest Corporation,Financial,Asset Management,USA
CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,USA
CSX,CSX Corporation,Industrials,Railroads,USA
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA
CTB,Cooper Tire & Rubber Company,Consumer Cyclical,Auto Parts,USA
CTBB,Qwest Corp. NT,Financial,Exchange Traded Fund,USA
CTBI,"Community Trust Bancorp, Inc.",Financial,Banks - Regional,USA
CTDD,Qwest Corp. 6.75% NT 57,Financial,Exchange Traded Fund,USA
CTEK,"CynergisTek, Inc.",Technology,Information Technology Services,USA
CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA
CTHR,"Charles & Colvard, Ltd.",Consumer Cyclical,Luxury Goods,USA
CTIB,Yunhong CTI Ltd.,Consumer Cyclical,Auto Parts,USA
CTIC,CTI BioPharma Corp.,Healthcare,Biotechnology,USA
CTK,CooTek (Cayman) Inc.,Technology,Software - Application,China
CTL,"CenturyLink, Inc.",Communication Services,Telecom Services,USA
CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
CTMX,"CytomX Therapeutics, Inc.",Healthcare,Biotechnology,USA
CTO,Consolidated-Tomoka Land Co.,Real Estate,Real Estate - Development,USA
CTR,ClearBridge MLP and Midstream Total Return Fund Inc,Financial,Closed-End Fund - Equity,USA
CTRA,"Contura Energy, Inc.",Energy,Thermal Coal,USA
CTRC,Centric Brands Inc.,Consumer Cyclical,Apparel Manufacturing,USA
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,USA
CTRM,Castor Maritime Inc.,Industrials,Marine Shipping,Cyprus
CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA
CTS,CTS Corporation,Technology,Electronic Components,USA
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA
CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,USA
CTT,"CatchMark Timber Trust, Inc.",Real Estate,REIT - Specialty,USA
CTV,Qwest Corp. NT 10/01/54,Financial,Exchange Traded Fund,USA
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA
CTXR,"Citius Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA
CTZ,Qwest Corp. NT,Financial,Exchange Traded Fund,USA
CUB,Cubic Corporation,Industrials,Aerospace & Defense,USA
CUBA,The Herzfeld Caribbean Basin Fund Inc.,Financial,Closed-End Fund - Equity,USA
CUBE,CubeSmart,Real Estate,REIT - Industrial,USA
CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA
CUE,"Cue Biopharma, Inc.",Healthcare,Biotechnology,USA
CUK,Carnival Corporation & Plc,Consumer Cyclical,Leisure,USA
CULP,"Culp, Inc.",Consumer Cyclical,Textile Manufacturing,USA
CURE,Direxion Daily Healthcare Bull 3X Shares,Financial,Exchange Traded Fund,USA
CURO,CURO Group Holdings Corp.,Financial,Credit Services,USA
CUT,Invesco MSCI Global Timber ETF,Financial,Exchange Traded Fund,USA
CUTR,"Cutera, Inc.",Healthcare,Medical Devices,USA
CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,USA
CVA,Covanta Holding Corporation,Industrials,Waste Management,USA
CVBF,CVB Financial Corp.,Financial,Banks - Regional,USA
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,USA
CVCY,Central Valley Community Bancorp,Financial,Banks - Regional,USA
CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,Canada
CVEO,Civeo Corporation,Industrials,Specialty Business Services,USA
CVET,"Covetrus, Inc.",Healthcare,Health Information Services,USA
CVGI,"Commercial Vehicle Group, Inc.",Consumer Cyclical,Auto Parts,USA
CVGW,"Calavo Growers, Inc.",Consumer Defensive,Packaged Foods,USA
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,USA
CVIA,Covia Holdings Corporation,Energy,Oil & Gas Equipment & Services,USA
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,USA
CVLY,"Codorus Valley Bancorp, Inc.",Financial,Banks - Regional,USA
CVM,CEL-SCI Corporation,Healthcare,Biotechnology,USA
CVNA,Carvana Co.,Consumer Cyclical,Internet Retail,USA
CVR,Chicago Rivet & Machine Co.,Industrials,Tools & Accessories,USA
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA
CVTI,"Covenant Transportation Group, Inc.",Industrials,Trucking,USA
CVU,"CPI Aerostructures, Inc.",Industrials,Aerospace & Defense,USA
CVV,CVD Equipment Corporation,Industrials,Specialty Industrial Machinery,USA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA
CVY,Invesco Zacks Multi-Asset Income ETF,Financial,Exchange Traded Fund,USA
CW,Curtiss-Wright Corporation,Industrials,Specialty Industrial Machinery,USA
CWB,SPDR Bloomberg Barclays Convertible Securities ETF,Financial,Exchange Traded Fund,USA
CWBC,Community West Bancshares,Financial,Banks - Regional,USA
CWBR,"CohBar, Inc.",Healthcare,Biotechnology,USA
CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,Cayman Islands
CWEB,Direxion Daily CSI China Internet Bull 2X Shares,Financial,Exchange Traded Fund,USA
CWEN,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,USA
CWEN-A,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,USA
CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,USA
CWI,SPDR MSCI ACWI ex-US ETF,Financial,Exchange Traded Fund,USA
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,USA
CWS,AdvisorShares Focused Equity ETF,Financial,Exchange Traded Fund,USA
CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,USA
CWT,California Water Service Group,Utilities,Utilities - Regulated Water,USA
CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,Mexico
CXDC,China XD Plastics Company Limited,Consumer Cyclical,Auto Parts,China
CXE,MFS High Income Municipal Trust,Financial,Closed-End Fund - Debt,USA
CXH,MFS Investment Grade Municipal Trust,Financial,Closed-End Fund - Debt,USA
CXO,Concho Resources Inc.,Energy,Oil & Gas E&P,USA
CXP,"Columbia Property Trust, Inc.",Real Estate,REIT - Office,USA
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,Financial,Exchange Traded Fund,USA
CXW,"CoreCivic, Inc.",Real Estate,REIT - Specialty,USA
CYAD,Celyad SA,Healthcare,Biotechnology,Belgium
CYAN,Cyanotech Corporation,Consumer Defensive,Packaged Foods,USA
CYB,WisdomTree Chinese Yuan Strategy Fund,Financial,Exchange Traded Fund,USA
CYBE,CyberOptics Corporation,Technology,Scientific & Technical Instruments,USA
CYBR,CyberArk Software Ltd.,Technology,Software - Infrastructure,Israel
CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
CYCN,"Cyclerion Therapeutics, Inc.",Healthcare,Biotechnology,USA
CYD,China Yuchai International Limited,Industrials,Specialty Industrial Machinery,Singapore
CYH,"Community Health Systems, Inc.",Healthcare,Medical Care Facilities,USA
CYRN,CYREN Ltd.,Technology,Software - Infrastructure,USA
CYRX,"Cryoport, Inc.",Industrials,Integrated Freight & Logistics,USA
CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,USA
CZA,Invesco Zacks Mid-Cap ETF,Financial,Exchange Traded Fund,USA
CZNC,Citizens & Northern Corporation,Financial,Banks - Regional,USA
CZR,Caesars Entertainment Corporation,Consumer Cyclical,Resorts & Casinos,USA
CZWI,"Citizens Community Bancorp, Inc.",Financial,Banks - Regional,USA
CZZ,Cosan Limited,Energy,Oil & Gas Refining & Marketing,Brazil
D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,USA
DAC,Danaos Corporation,Industrials,Marine Shipping,Greece
DAIO,Data I/O Corporation,Technology,Electronic Components,USA
DAKT,"Daktronics, Inc.",Technology,Computer Hardware,USA
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA
DALI,First Trust Dorsey Wright DALI 1 ETF,Financial,Exchange Traded Fund,USA
DALT,Anfield Capital Diversified Alternatives ETF,Financial,Exchange Traded Fund,USA
DAN,Dana Incorporated,Consumer Cyclical,Auto Parts,USA
DAO,"Youdao, Inc.",Communication Services,Internet Content & Information,China
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,USA
DARE,"Dare Bioscience, Inc.",Healthcare,Biotechnology,USA
DAUD,Citigroup ETNs linked VS Daily 4X Long USD/AUD,Financial,Exchange Traded Fund,USA
DAUG,FT Cboe Vest US Eq Deep Buffer ETF - August,Financial,Exchange Traded Fund,USA
DAVA,Endava plc,Technology,Software - Infrastructure,United Kingdom
DAX,Global X DAX Germany ETF,Financial,Exchange Traded Fund,USA
DB,Deutsche Bank Aktiengesellschaft,Financial,Banks - Regional,Germany
DBA,Invesco DB Agriculture Fund,Financial,Exchange Traded Fund,USA
DBAW,Xtrackers MSCI All World ex U.S. Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBB,Invesco DB Base Metals Fund,Financial,Exchange Traded Fund,USA
DBC,Invesco DB Commodity Index Tracking Fund,Financial,Exchange Traded Fund,USA
DBD,"Diebold Nixdorf, Incorporated",Technology,Software - Application,USA
DBE,Invesco DB Energy Fund,Financial,Exchange Traded Fund,USA
DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBEH,iM DBi Long Short Hedge Strategy ETF,Financial,Exchange Traded Fund,USA
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBEU,Xtrackers MSCI Europe Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBEZ,Xtrackers MSCI Eurozone Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBGR,Xtrackers MSCI Germany Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBI,Designer Brands Inc.,Consumer Cyclical,Apparel Retail,USA
DBJP,Xtrackers MSCI Japan Hedged Equity ETF,Financial,Exchange Traded Fund,USA
DBL,DoubleLine Opportunistic Credit Fund,Financial,Closed-End Fund - Debt,USA
DBLV,AdvisorShares DoubleLine Value Equity ETF,Financial,Exchange Traded Fund,USA
DBMF,iM DBi Managed Futures Strategy ETF,Financial,Exchange Traded Fund,USA
DBO,Invesco DB Oil Fund,Financial,Exchange Traded Fund,USA
DBP,Invesco DB Precious Metals Fund,Financial,Exchange Traded Fund,USA
DBS,Invesco DB Silver Fund,Financial,Exchange Traded Fund,USA
DBV,Invesco DB G10 Currency Harvest Fund,Financial,Exchange Traded Fund,USA
DBVT,DBV Technologies S.A.,Healthcare,Biotechnology,France
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,USA
DCAR,"DropCar, Inc.",Technology,Software - Application,USA
DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,USA
DCO,Ducommun Incorporated,Industrials,Aerospace & Defense,USA
DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,USA
DCP,"DCP Midstream, LP",Energy,Oil & Gas Midstream,USA
DCPH,"Deciphera Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
DCTH,"Delcath Systems, Inc.",Healthcare,Medical Devices,USA
DCUE,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,USA
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,USA
DDD,3D Systems Corporation,Technology,Computer Hardware,USA
DDF,"Delaware Investments Dividend and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA
DDG,ProShares Short Oil & Gas,Financial,Exchange Traded Fund,USA
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,Financial,Exchange Traded Fund,USA
DDLS,WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund,Financial,Exchange Traded Fund,USA
DDM,ProShares Ultra Dow30,Financial,Exchange Traded Fund,USA
DDOG,"Datadog, Inc.",Technology,Software - Application,USA
DDS,"Dillard's, Inc.",Consumer Cyclical,Department Stores,USA
DDWM,WisdomTree Dynamic Currency Hedged International Equity Fund,Financial,Exchange Traded Fund,USA
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA
DEA,"Easterly Government Properties, Inc.",Real Estate,REIT - Office,USA
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,USA
DEEF,Xtrackers FTSE Developed ex US Comprehensive Factor ETF,Financial,Exchange Traded Fund,USA
DEF,Invesco Defensive Equity ETF,Financial,Exchange Traded Fund,USA
DEFA,iShares Adaptive Currency Hedged MSCI EAFE ETF,Financial,Exchange Traded Fund,USA
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,USA
DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA
DEM,WisdomTree Emerging Markets High Dividend Fund,Financial,Exchange Traded Fund,USA
DENN,Denny's Corporation,Consumer Cyclical,Restaurants,USA
DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom
DES,WisdomTree U.S. SmallCap Dividend Fund,Financial,Exchange Traded Fund,USA
DESP,"Despegar.com, Corp.",Consumer Cyclical,Travel Services,Argentina
DEUR,Citigroup ETNs linked VS Daily 4X Long USD/EUR,Financial,Exchange Traded Fund,USA
DEUS,Xtrackers Russell 1000 Comprehensive Factor ETF,Financial,Exchange Traded Fund,USA
DEW,WisdomTree Global High Dividend Fund,Financial,Exchange Traded Fund,USA
DEX,Delaware Enhanced Global Dividend and Income Fund,Financial,Closed-End Fund - Debt,USA
DFE,WisdomTree Europe SmallCap Dividend Fund,Financial,Exchange Traded Fund,USA
DFEB,FT Cboe Vest US Eq Deep Buffer ETF - February,Financial,Exchange Traded Fund,USA
DFEN,Direxion Daily Aerospace & Defense Bull 3X,Financial,Exchange Traded Fund,USA
DFFN,Diffusion Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
DFIN,"Donnelley Financial Solutions, Inc.",Financial,Capital Markets,USA
DFJ,WisdomTree Japan SmallCap Dividend Fund,Financial,Exchange Traded Fund,USA
DFND,Reality Shares Divcon Dividend Defender ETF,Financial,Exchange Traded Fund,USA
DFNL,Davis Select Financial ETF,Financial,Exchange Traded Fund,USA
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,Financial,Closed-End Fund - Debt,USA
DFPHU,DFP Healthcare Acquisitions Corp.,Financial,Shell Companies,USA
DFS,Discover Financial Services,Financial,Credit Services,USA
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,USA
DGAZ,VelocityShares 3x Inv Natural Gas ETN,Financial,Exchange Traded Fund,USA
DGBP,Citigroup ETNs linked VS Daily 4X Long USD/GBP,Financial,Exchange Traded Fund,USA
DGICA,Donegal Group Inc.,Financial,Insurance - Property & Casualty,USA
DGII,Digi International Inc.,Technology,Communication Equipment,USA
DGL,Invesco DB Gold Fund,Financial,Exchange Traded Fund,USA
DGLD,VelocityShares 3x Inverse Gold ETN,Financial,Exchange Traded Fund,USA
DGLY,"Digital Ally, Inc.",Industrials,Security & Protection Services,USA
DGP,DB Gold Double Long ETN,Financial,Exchange Traded Fund,USA
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA
DGRO,iShares Core Dividend Growth ETF,Financial,Exchange Traded Fund,USA
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA
DGS,WisdomTree Emerging Markets SmallCap Dividend Fund,Financial,Exchange Traded Fund,USA
DGT,SPDR Global Dow ETF,Financial,Exchange Traded Fund,USA
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA
DGZ,DB Gold Short ETN,Financial,Exchange Traded Fund,USA
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,USA
DHF,BNY Mellon High Yield Strategies Fund,Financial,Closed-End Fund - Debt,USA
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA
DHIL,"Diamond Hill Investment Group, Inc.",Financial,Asset Management,USA
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA
DHS,WisdomTree U.S. High Dividend Fund,Financial,Exchange Traded Fund,USA
DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,Bermuda
DHX,"DHI Group, Inc.",Industrials,Staffing & Employment Services,USA
DHY,"Credit Suisse High Yield Bond Fund, Inc.",Financial,Asset Management,USA
DIA,SPDR Dow Jones Industrial Average ETF Trust,Financial,Exchange Traded Fund,USA
DIAL,Columbia Diversified Fixed Income Allocation ETF,Financial,Exchange Traded Fund,USA
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund,Financial,Closed-End Fund - Equity,USA
DIG,ProShares Ultra Oil & Gas,Financial,Exchange Traded Fund,USA
DIM,WisdomTree International MidCap Dividend Fund,Financial,Exchange Traded Fund,USA
DIN,"Dine Brands Global, Inc.",Consumer Cyclical,Restaurants,USA
DINT,Davis Select International ETF,Financial,Exchange Traded Fund,USA
